card_3,card_4,card_2,carvalue,debtinc,reason_2,commutetime,hourstv,age,creddebt,lncreddebt,ed,lncardmon,lnothdebt,card_5,othdebt,lncardten,lntollmon,lnequipmon,lntollten,pets_dogs,reside,spoused,card2_3,lnequipten,lnwiremon,gender_1,card2_2,pets_cats,cartype_0,lnwireten,townsize_3.0,cardtype_3,card2benefit_4,card2benefit_3,card2benefit_2,commutewalk_1,homeown_1,spousedcat_2,polparty_1,cardtenure_23,ownpc_1,commutecar_1,jobsat_4,wiremon,owngame_1,region_5,vote_1,region_3,carbought_0,union_1,carbought_1,cardbenefit_2,card2type_4,address_22,commutebus_1,active_1,jobsat_3,card2fee_1,jobsat_5,forward_1,Total_spent
1,0,0,88.6,10.7,0,29,24,63,13.111352,2.57347842,14,2.983153491,3.180802495,0,24.06426,7.189167738,3.81220267,3.599725167,8.060050505,0,2,20,0,6.747846135,3.604226267,0,1,0,1,6.808150954,0,1,0,1,0,0,1,0,0,0,0,1,1,0,0,1,1,0,1,1,0,1,0,0,0,0,0,1,0,1,877.9928031
0,0,1,-1,4.8,0,30,16,28,0.190992,-1.655523737,11,2.803360381,-0.091010636,0,0.913008,6.300785795,3.496507561,3.599725167,7.002747226,0,3,12,1,6.747846135,3.604226267,1,0,1,0,6.808150954,0,0,0,1,0,0,1,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,1,326.3944035
0,0,1,10.8,15.2,0,23,22,78,0.692208,-0.36786879,16,3.457892725,0.975235638,0,2.651792,5.857933154,3.242726692,3.212857753,6.585937264,0,1,-1,1,5.834079476,3.604226267,1,0,0,0,6.808150954,0,1,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,214.658424
0,0,0,9.4,10.1,0,34,25,61,1.233715,0.210029943,16,2.251291799,0.833467663,0,2.301285,6.173786104,3.242726692,3.599725167,6.585937264,0,2,12,0,6.747846135,3.604226267,0,0,0,1,6.808150954,1,0,0,1,0,0,0,1,0,0,1,1,0,0,1,0,0,1,0,0,1,0,0,0,1,0,1,0,0,1,679.4223229
0,0,0,15.7,9.3,0,29,21,70,1.195236,0.178343655,17,2.724579503,0.342712724,0,1.408764,6.733401892,3.157000421,3.599725167,7.220117769,0,2,17,0,6.747846135,3.604226267,0,0,0,1,6.808150954,0,0,1,0,0,0,0,0,1,0,1,1,0,0,1,0,1,0,1,1,0,0,0,0,0,1,0,0,0,0,680.3940173
0,0,0,5.8,21.5,0,25,13,61,0.56502,-0.57089415,14,2.442347035,0.70060927,0,2.01498,6.514712691,3.242726692,3.370738174,6.585937264,0,1,-1,1,7.490417726,3.604226267,0,0,0,1,6.808150954,0,0,0,0,0,0,1,0,1,0,1,1,0,0,1,0,0,0,0,0,1,1,0,0,1,0,0,0,1,0,297.2150853
0,0,0,-1,15.7,0,29,21,37,3.319137,1.199704809,11,2.351375257,0.210149898,1,1.233863,5.940171253,3.349904087,3.772760938,6.935467718,0,1,-1,0,7.416949573,3.449987546,0,0,0,0,7.089409947,0,0,0,0,1,0,0,0,0,0,1,0,0,31.5,1,0,0,1,0,1,0,1,0,0,1,1,1,0,0,1,430.2016979
0,1,0,49.2,11.3,0,32,31,39,4.68611,1.544602814,12,3.198673118,2.302974017,0,10.00389,4.941642423,2.583997552,3.599725167,4.532599493,0,4,14,1,6.747846135,3.604226267,0,0,0,1,6.808150954,1,0,0,0,1,0,1,1,1,0,1,1,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,1,620.926315
0,0,1,22.8,14.8,0,27,22,73,1.164168,0.152006669,14,2.302585093,2.202525171,0,9.047832,6.388561406,2.876385516,3.853334009,6.938672382,0,2,15,1,7.963512257,3.974058396,1,0,0,0,8.085055512,1,0,1,0,0,1,0,0,0,0,1,1,0,53.2,1,0,0,0,0,0,1,0,0,0,1,0,1,1,0,1,338.5609546
0,1,0,9.8,11.7,0,27,17,26,1.297296,0.260282098,16,1.704748092,0.412575767,0,1.510704,4.976733742,3.242726692,3.297687005,6.585937264,1,6,17,0,6.591056257,3.604226267,1,0,0,1,6.808150954,0,0,0,1,0,0,0,0,1,0,1,1,0,0,1,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,286.2845915
0,1,0,-1,14,0,14,13,24,1.39258,0.331158142,17,2.909081993,0.981111713,0,2.66742,6.429558117,3.242726692,2.978077338,6.585937264,1,1,-1,1,5.151845463,3.604226267,1,0,0,0,6.808150954,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,183.6183862
0,0,1,3.1,10.2,0,21,23,77,0.255816,-1.363296843,15,3.70745584,-0.143657922,0,0.866184,7.960323629,4.190524308,3.599725167,8.429811995,2,1,-1,0,6.747846135,3.604226267,1,0,0,1,6.808150954,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,1,1,0,0,0,1,0,1,1,0,0,1,0,323.3204775
0,0,0,13.1,15.5,0,24,15,36,0.41385,-0.88225169,19,2.909081993,1.443654838,0,4.23615,6.429558117,3.242726692,3.599725167,6.585937264,0,1,-1,0,6.747846135,3.604226267,0,1,0,1,6.808150954,1,0,1,0,0,0,1,0,1,0,1,1,1,0,1,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,598.7737642
0,0,1,35,6.5,0,25,25,55,0.03316008,-3.401690113,14,3.102342009,1.642640553,0,5.1688,6.907755279,3.242726692,3.599725167,6.585937264,0,1,-1,0,6.747846135,3.604226267,0,0,2,1,6.808150954,0,0,0,0,1,0,1,0,0,0,1,1,0,0,1,0,0,1,1,0,0,0,0,0,1,0,0,0,1,1,460.8189287
0,1,0,25.2,7.8,0,26,20,60,1.209312,0.190051603,18,3.349904087,1.018373562,0,2.768688,7.644919345,3.936715618,4.010056746,8.195568187,0,2,13,0,8.309984503,4.021773869,1,1,2,1,8.247874803,0,0,0,1,0,0,0,1,1,0,1,1,0,55.8,1,0,0,0,1,0,0,1,1,0,1,1,0,1,1,1,462.2758049
0,0,1,-1,2.8,0,15,29,59,0.26292,-1.335905476,8,3.401197382,-0.549774374,0,0.57708,3.80666249,2.983153491,3.599725167,3.96271612,1,4,10,0,6.747846135,3.604226267,1,0,0,0,6.808150954,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,1,1,330.3743753
1,0,0,8.2,8.2,0,23,30,28,0.150552,-1.89344674,11,2.909081993,0.217888166,0,1.243448,6.429558117,3.242726692,3.599725167,6.585937264,0,6,14,0,6.747846135,3.604226267,0,0,1,1,6.808150954,0,0,0,0,0,0,0,1,1,0,0,1,0,0,1,0,1,0,1,1,0,1,1,0,0,1,0,0,0,1,404.2039229
0,1,0,-1,9.9,0,23,10,53,9.589833,2.260703475,20,3.102342009,1.474572373,0,4.369167,6.672032945,3.36729583,3.896909368,6.949281026,1,3,17,0,7.43461172,4.114963849,0,0,0,0,7.700385738,1,0,0,1,0,1,1,0,1,0,1,0,0,61.25,1,0,1,1,0,0,0,0,1,0,0,0,0,0,1,1,526.1822996
0,1,0,21.2,8.3,0,26,29,36,0.88893,-0.117736787,12,2.909081993,1.045939095,0,2.84607,6.429558117,3.242726692,3.310543013,6.585937264,0,2,-1,0,7.024293095,3.604226267,0,0,0,1,6.808150954,0,0,0,0,1,1,0,0,1,0,1,1,1,0,1,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,383.8745892
0,0,0,78.1,13.7,0,21,22,47,3.303344,1.194935289,20,3.341093458,2.738621824,0,15.465656,7.5416831,3.242726692,3.803323589,6.585937264,0,2,19,0,7.997326823,3.595941458,0,0,2,0,7.81409668,0,0,0,1,0,1,1,0,0,0,1,0,1,36.45,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,1040.342382
0,1,0,4.9,2.4,0,24,21,75,0.03888,-3.247275299,11,2.63905733,-1.603853534,0,0.20112,6.461468176,3.208825489,3.599725167,6.964135612,0,1,-1,0,6.747846135,3.604226267,0,1,1,1,6.808150954,0,1,0,0,1,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,1,190.8998741
0,1,0,33.9,9.2,0,19,22,49,1.437224,0.362713475,21,2.909081993,1.663694253,0,5.278776,6.429558117,2.970414466,4.047427642,6.394510064,0,5,20,0,7.46178406,4.131961426,1,1,2,0,7.53862804,1,0,0,1,0,1,1,0,0,0,1,0,0,62.3,1,0,1,0,0,1,1,0,0,0,1,1,1,0,0,0,472.2387581
0,1,0,36.2,6,0,16,13,59,0.59346,-0.521785464,13,2.197224577,1.158935689,0,3.18654,5.799092654,2.957511061,3.599725167,6.653636923,0,1,-1,1,6.747846135,2.962692419,1,0,0,1,6.639025799,0,0,1,0,0,0,0,0,1,0,1,1,0,19.35,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,281.24077
0,0,0,31.8,5.1,0,21,29,55,1.0863,0.082777426,12,3.737669618,0.380967477,0,1.4637,7.630461262,3.979681654,3.599725167,7.887321234,0,3,11,1,6.747846135,3.604226267,1,0,0,1,6.808150954,0,0,1,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,677.8048136
0,1,0,-1,10.5,0,15,22,25,1.218,0.197210169,14,3.277144733,1.394262531,0,4.032,7.047517221,3.242726692,3.392829132,6.585937264,1,5,-1,0,7.185008156,3.604226267,0,1,0,0,6.808150954,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,339.917545
0,0,1,15.8,9.8,1,34,20,78,1.635424,0.491902098,11,2.374905755,0.103076309,0,1.108576,5.686975356,3.242726692,3.599725167,6.585937264,0,2,15,0,6.747846135,3.604226267,0,0,0,1,6.808150954,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,1,0,0,1,0,0,1,1,0,465.6432856
0,0,0,9.3,18.7,0,23,28,48,2.051577,0.718608766,11,2.756840365,0.810673739,1,2.249423,5.843544417,3.548179572,3.599725167,6.63824051,0,2,-1,1,6.747846135,2.980618636,1,0,0,1,5.960747574,0,1,0,0,0,0,1,0,0,0,1,1,0,19.7,0,0,0,0,1,0,0,1,0,1,0,1,0,0,0,1,286.0067594
0,0,0,46.1,2.2,0,22,19,47,0.1023,-2.279845606,19,2.621038824,0.436769958,0,1.5477,5.669880923,3.242726692,3.271468275,6.585937264,0,2,20,0,6.246687992,3.604226267,0,0,0,0,6.808150954,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,1,1,0,0,0,1,0,1,0,0,0,0,0,0,0,564.9391513
0,0,0,13.8,3.3,0,20,12,75,0.394548,-0.930014473,10,2.909081993,-0.63591277,0,0.529452,6.429558117,3.113515309,3.599725167,5.908897823,0,2,10,1,6.747846135,3.604226267,0,0,0,1,6.808150954,0,0,1,0,0,1,1,0,1,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,0,0,0,438.7904358
0,1,0,17.2,12.6,0,22,18,43,2.116422,0.749726927,19,2.909081993,0.713723038,0,2.041578,6.429558117,3.242726692,3.599725167,6.585937264,0,2,20,0,6.747846135,3.604226267,1,0,0,0,6.808150954,0,0,0,1,0,0,1,0,1,0,0,1,0,0,1,0,1,1,1,0,0,0,0,0,0,1,0,0,0,0,368.7081201
1,0,0,30.9,13.6,0,39,13,45,0.98736,-0.012720564,10,3.341093458,1.608765687,0,4.99664,7.455876687,3.242726692,3.599725167,6.585937264,0,5,9,0,6.747846135,3.604226267,0,1,1,0,6.808150954,0,0,1,0,0,1,1,0,1,0,0,1,0,0,0,1,0,0,0,0,1,1,0,0,1,1,0,1,0,0,385.9769042
0,1,0,16,9.2,0,25,17,21,0.77004,-0.261312817,16,2.909081993,0.733309758,0,2.08196,6.429558117,3.242726692,3.599725167,6.585937264,0,1,-1,1,6.747846135,3.604226267,0,0,1,1,6.808150954,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,1,1,0,0,0,1,0,0,0,1,1,0,0,0,0,387.4785746
0,1,0,92.001,9.4,0,29,13,53,14.2803584,2.65891009,21,2.621038824,2.419391296,0,11.239016,6.29156914,3.80666249,3.599725167,7.695848937,0,1,-1,0,6.747846135,4.043928076,0,1,0,1,7.907136377,0,0,0,0,1,0,1,0,1,0,1,1,0,57.05,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,735.1903045
0,0,1,28.8,2.1,0,34,18,30,0.193452,-1.642725859,13,2.909081993,-0.179667482,0,0.835548,6.429558117,3.242726692,3.599725167,6.585937264,0,1,-1,1,6.747846135,3.604226267,1,0,2,1,6.808150954,1,1,0,1,0,0,1,0,0,0,0,1,1,0,1,0,1,1,1,0,0,0,0,0,1,0,0,1,0,0,336.7348652
1,0,0,9.2,7.6,0,20,16,58,0.08436,-2.472661923,19,3.425889994,0.054147218,0,1.05564,7.146772179,3.242726692,3.599725167,6.585937264,0,1,-1,0,6.747846135,3.604226267,1,0,0,0,6.808150954,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,1,1,0,0,0,0,1,1,0,285.2225846
0,1,0,11.4,2.3,0,24,26,35,0.254932,-1.366758436,11,2.302585093,-1.994600518,0,0.136068,6.244166901,3.242726692,3.599725167,6.585937264,0,4,9,1,6.747846135,3.604226267,0,0,0,0,6.808150954,0,1,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,1,277.2346009
0,1,0,36,11.3,0,26,22,48,4.820806,1.572941134,14,3.496507561,1.516926492,0,4.558194,7.021083964,3.17805383,3.909018496,6.786604077,1,2,13,1,7.54258455,3.912023005,1,0,0,0,7.444336365,0,0,1,0,0,0,1,1,1,0,1,1,0,50,1,0,0,1,1,0,0,0,0,0,0,1,1,1,0,1,498.4946033
1,0,0,53.2,29.2,1,18,12,57,1.12176,0.11489888,15,2.909081993,3.180802495,0,24.06426,6.429558117,3.242726692,3.599725167,6.585937264,0,1,-1,0,6.747846135,3.044522438,1,0,0,0,5.862778539,1,1,1,0,0,1,1,0,0,0,1,1,0,21,1,0,0,1,0,0,1,0,1,0,0,1,0,0,1,0,449.3828564
0,0,0,-1,2.3,0,23,18,61,0.537602,-0.62063677,20,2.545531272,-0.118335438,0,0.888398,5.799092654,3.341093458,3.599725167,6.675886271,2,4,18,0,6.747846135,3.604226267,1,0,0,0,6.808150954,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,1,664.9787442
0,1,0,67.8,7,0,19,14,56,4.47258,1.497965423,19,3.473518043,1.646236464,0,5.18742,7.659171368,3.755369195,3.872242135,7.892825526,0,2,15,0,8.024469403,4.102643365,1,0,0,1,8.307520993,0,1,1,0,0,0,0,0,0,0,1,1,1,60.5,1,1,1,0,0,0,1,0,0,0,0,1,0,1,0,1,657.5921244
1,0,0,16.8,5.7,0,20,22,29,1.079295,0.07630805,17,2.691243083,-0.088061019,0,0.915705,6.672032945,3.425889994,3.599725167,7.454604202,0,2,16,0,6.747846135,3.764682418,1,1,0,0,7.798605118,0,0,0,1,0,1,0,0,0,0,1,1,1,43.15,1,0,1,0,1,0,0,0,1,0,0,1,0,0,0,1,289.2256512
0,0,0,13.9,12.2,0,19,21,68,0.74298,-0.297086153,11,3.238678452,1.260453322,0,3.52702,7.368339686,3.242726692,3.599725167,6.585937264,0,2,16,0,6.747846135,3.604226267,1,1,0,1,6.808150954,0,0,0,1,0,1,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,438.3258411
0,1,0,-1,5.2,0,19,18,22,0.27976,-1.273823186,16,2.909081993,-0.274121106,0,0.76024,6.429558117,3.242726692,3.063390922,6.585937264,0,4,13,0,6.327668891,3.604226267,0,0,3,0,6.808150954,1,1,0,1,0,1,0,1,1,0,1,0,0,0,1,1,1,0,0,0,0,1,0,0,1,1,0,0,0,0,245.9008067
0,0,1,13.4,7.7,0,26,20,46,0.4774,-0.739400565,10,2.909081993,0.369907013,0,1.4476,6.429558117,2.862200881,3.599725167,6.31490582,0,1,-1,0,6.747846135,3.604226267,1,0,0,1,6.808150954,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,326.421494
0,1,0,16.8,3.9,0,30,22,24,0.428571,-0.84729886,17,2.909081993,-0.152651304,0,0.858429,6.429558117,3.242726692,3.734091797,6.585937264,0,3,19,1,5.096201182,3.234749174,0,0,1,0,4.49535532,0,0,0,0,1,0,1,0,0,0,1,1,0,25.4,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,350.5759552
0,0,1,14.8,23.1,0,22,20,78,3.171168,1.154099974,16,2.803360381,1.440032265,0,4.220832,6.429719478,3.778491613,3.599725167,7.461611656,0,2,17,1,6.747846135,3.471966453,1,0,0,1,7.109920312,0,1,0,0,0,0,0,0,0,0,1,1,0,32.2,0,0,0,1,1,0,0,0,0,0,1,0,0,0,1,1,229.3913235
0,0,0,7,3,1,19,31,73,0.29856,-1.208784361,10,3.349904087,-1.706830258,0,0.18144,7.549609165,3.242726692,3.599725167,6.585937264,0,4,10,1,6.747846135,3.604226267,0,0,0,1,6.808150954,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,569.4495327
0,1,0,27.3,3.9,0,33,19,26,0.391872,-0.936820023,20,2.909081993,0.74390113,0,2.104128,6.429558117,3.242726692,3.599725167,6.585937264,1,1,-1,1,6.747846135,3.604226267,1,0,1,1,6.808150954,1,1,0,0,1,0,0,0,1,0,1,1,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,445.0924145
0,0,0,13.5,14.8,1,21,24,44,2.105892,0.74473913,15,3.295836866,0.909108199,0,2.482108,7.244227516,3.242726692,3.599725167,6.585937264,0,1,-1,1,6.747846135,3.604226267,1,0,0,0,6.808150954,0,0,0,1,0,0,0,0,0,0,1,1,1,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,747.6960685
0,0,1,10.2,14.5,0,21,21,30,0.79866,-0.224819956,12,2.909081993,0.594066903,0,1.81134,6.429558117,3.242726692,3.599725167,6.585937264,0,4,15,0,6.747846135,3.604226267,0,0,0,1,6.808150954,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,1,0,0,0,0,1,0,0,0,0,364.0853395
0,0,1,16.4,3.1,0,32,20,44,0.151249,-1.888827794,8,2.909081993,0.113106339,0,1.119751,6.429558117,3.242726692,3.599725167,6.585937264,0,1,-1,1,6.747846135,3.604226267,0,0,0,1,6.808150954,0,0,0,1,0,0,0,0,0,0,1,1,0,0,1,0,1,0,1,0,0,1,0,0,0,0,1,0,0,0,334.8979744
0,0,0,11.5,2.7,1,29,17,21,0.275616,-1.288746686,12,2.909081993,-1.144497078,1,0.318384,6.429558117,3.242726692,3.599725167,6.585937264,0,2,12,1,6.747846135,3.604226267,1,0,0,1,6.808150954,0,0,0,0,1,1,1,1,0,0,1,1,0,0,0,0,1,1,1,1,0,0,0,0,0,1,0,0,0,0,509.8708786
0,0,1,5.1,15,0,18,16,62,0.5754,-0.552689828,9,3.64414356,0.421732081,0,1.5246,7.884199934,3.358637767,3.599725167,7.653850634,1,2,11,1,6.747846135,3.604226267,1,0,0,0,6.808150954,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,1,1,0,0,0,0,1,0,0,0,0,1,241.132005
0,0,0,58.4,6.9,0,30,15,33,3.745596,1.32058075,14,2.909081993,0.648361089,0,1.912404,6.429558117,3.242726692,3.599725167,6.585937264,0,2,14,0,6.747846135,3.604226267,0,0,0,0,6.808150954,1,0,1,0,0,0,1,1,0,0,1,1,1,0,1,0,1,0,1,1,0,0,0,0,0,0,0,1,0,0,1000.300974
0,0,0,53.9,0.7,1,17,17,65,0.094731,-2.356713983,17,2.944438979,-1.724461634,0,0.178269,7.189167738,3.242726692,4.024458435,6.585937264,0,1,-1,0,8.265444383,4.440884992,0,0,0,1,8.6310396,0,1,0,0,0,0,1,0,1,0,1,0,0,78.304,1,0,1,0,1,1,0,1,1,0,0,1,1,0,0,0,818.7269445
0,0,0,36.5,4.7,0,27,18,38,0.699078,-0.357992955,16,2.909081993,1.022063083,0,2.778922,6.429558117,3.208825489,3.599725167,6.789984743,0,2,12,0,6.747846135,3.604226267,0,1,0,0,6.808150954,0,0,0,0,1,0,1,1,1,0,0,1,0,0,0,0,1,1,1,0,0,0,0,0,0,1,0,0,0,0,743.170178
0,0,0,17.5,2.1,0,28,20,34,0.358386,-1.026144661,15,2.909081993,-0.498215467,0,0.607614,6.429558117,3.218875825,3.599725167,6.597623078,0,2,-1,0,6.747846135,3.604226267,1,0,2,1,6.808150954,1,0,0,1,0,1,1,0,0,0,1,1,1,0,1,0,1,0,1,0,0,0,1,0,0,1,0,0,0,1,668.5222545
